entity_name,technique_id_seq,num_techniques,motive,source,source_type
Rocke,T1190 -> T1053 -> T1059 -> T1574 -> T1543 -> T1037 -> T1547 -> T1055 -> T1552 -> T1046 -> T1057 -> T1018 -> T1082 -> T1518 -> T1021 -> T1071 -> T1105 -> T1102 -> T1571 -> T1496 -> T1070 -> T1562 -> T1027 -> T1070 -> T1222 -> T1027 -> T1014 -> T1070 -> T1140 -> T1564 -> T1036 -> T1562,32,Financial,Tropchaud,aggregate
Chimera,T1589 -> T1588 -> T1133 -> T1078 -> T1059 -> T1106 -> T1053 -> T1059 -> T1047 -> T1574 -> T1569 -> T1556 -> T1111 -> T1110 -> T1003 -> T1057 -> T1046 -> T1082 -> T1087 -> T1135 -> T1016 -> T1012 -> T1083 -> T1217 -> T1069 -> T1087 -> T1007 -> T1049 -> T1201 -> T1124 -> T1482 -> T1033 -> T1018 -> T1570 -> T1021 -> T1550 -> T1021 -> T1119 -> T1560 -> T1114 -> T1213 -> T1039 -> T1114 -> T1074 -> T1071 -> T1572 -> T1105 -> T1567 -> T1041 -> T1070 -> T1036 -> T1070 -> T1027,53,Espionage,Tropchaud,aggregate
Ke3chang,T1587 -> T1588 -> T1078 -> T1133 -> T1078 -> T1190 -> T1059 -> T1569 -> T1543 -> T1547 -> T1558 -> T1003 -> T1056 -> T1003 -> T1082 -> T1069 -> T1007 -> T1018 -> T1057 -> T1033 -> T1087 -> T1083 -> T1049 -> T1614 -> T1016 -> T1021 -> T1560 -> T1119 -> T1213 -> T1114 -> T1005 -> T1560 -> T1071 -> T1105 -> T1071 -> T1041 -> T1020 -> T1027 -> T1036 -> T1140,40,Espionage,Tropchaud,aggregate
Deep Panda,T1059 -> T1047 -> T1546 -> T1505 -> T1018 -> T1057 -> T1021 -> T1564 -> T1027 -> T1218,10,Espionage,Tropchaud,aggregate
UNC5221,T1595 -> T1594 -> T1584 -> T1588 -> T1190 -> T1078 -> T1059 -> T1554 -> T1505 -> T1205 -> T1055 -> T1056 -> T1003 -> T1082 -> T1021 -> T1560 -> T1005 -> T1071 -> T1105 -> T1095 -> T1572 -> T1685 -> T1070 -> T1027,24,Espionage,https://attack.mitre.org/campaigns/C0029/,bounded_incident
Shedding_Zmiy_Case2,T1566 -> T1199 -> T1078 -> T1059 -> T1204 -> T1053 -> T1574 -> T1136 -> T1037 -> T1547 -> T1082 -> T1033 -> T1021 -> T1560 -> T1219 -> T1572 -> T1070 -> T1140,18,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Quantum3,T1078 -> T1566 -> T1059 -> T1569 -> T1204 -> T1055 -> T1018 -> T1057 -> T1087 -> T1069 -> T1082 -> T1135 -> T1570 -> T1021 -> T1210 -> T1039 -> T1071 -> T1219 -> T1567 -> T1486 -> T1070 -> T1218,22,Financial,https://thedfirreport.com/2022/11/28/emotet-strikes-again-lnk-file-leads-to-domain-wide-ransomware/,bounded_incident
Shedding_Zmiy_Case7,T1190 -> T1078 -> T1059 -> T1574 -> T1543 -> T1548 -> T1552 -> T1110 -> T1046 -> T1021 -> T1090 -> T1105 -> T1071 -> T1070 -> T1564,15,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
RansomHub1,T1588 -> T1566 -> T1190 -> T1059 -> T1047 -> T1059 -> T1136 -> T1098 -> T1003 -> T1110 -> T1018 -> T1046 -> T1021 -> T1210 -> T1219 -> T1048 -> T1537 -> T1048 -> T1486 -> T1490 -> T1036 -> T1070 -> T1562,23,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-242a,bounded_incident
Whitefly,T1588 -> T1204 -> T1059 -> T1574 -> T1068 -> T1003 -> T1105 -> T1036 -> T1027,9,Espionage,Tropchaud,aggregate
Silent Librarian,T1598 -> T1594 -> T1589 -> T1583 -> T1585 -> T1608 -> T1588 -> T1078 -> T1110 -> T1114,10,Espionage,Tropchaud,aggregate
Honeybee,T1569 -> T1059 -> T1543 -> T1112 -> T1547 -> T1546 -> T1055 -> T1548 -> T1057 -> T1083 -> T1082 -> T1005 -> T1560 -> T1074 -> T1071 -> T1020 -> T1027 -> T1553 -> T1140 -> T1070,20,Espionage,Tropchaud,aggregate
Tonto Team,T1566 -> T1203 -> T1574 -> T1059 -> T1204 -> T1059 -> T1505 -> T1068 -> T1003 -> T1056 -> T1135 -> T1069 -> T1210 -> T1090 -> T1105,15,Espionage,Tropchaud,aggregate
Windshift,T1566 -> T1189 -> T1566 -> T1204 -> T1047 -> T1059 -> T1204 -> T1547 -> T1518 -> T1082 -> T1057 -> T1033 -> T1105 -> T1071 -> T1036 -> T1027,16,Espionage,Tropchaud,aggregate
Medusa,T1190 -> T1566 -> T1059 -> T1072 -> T1569 -> T1047 -> T1136 -> T1003 -> T1046 -> T1083 -> T1135 -> T1016 -> T1082 -> T1069 -> T1021 -> T1105 -> T1071 -> T1219 -> T1567 -> T1486 -> T1490 -> T1657 -> T1529 -> T1489 -> T1070 -> T1027 -> T1070 -> T1562,28,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-071a,bounded_incident
Leviathan,T1589 -> T1585 -> T1586 -> T1583 -> T1585 -> T1586 -> T1078 -> T1566 -> T1133 -> T1189 -> T1566 -> T1204 -> T1047 -> T1059 -> T1204 -> T1203 -> T1559 -> T1197 -> T1547 -> T1505 -> T1547 -> T1546 -> T1055 -> T1003 -> T1534 -> T1021 -> T1074 -> T1560 -> T1102 -> T1572 -> T1105 -> T1090 -> T1567 -> T1041 -> T1140 -> T1027 -> T1218 -> T1553 -> T1027,39,Espionage,Tropchaud,aggregate
Gallmaker,T1566 -> T1204 -> T1559 -> T1059 -> T1560 -> T1027,6,Espionage,Tropchaud,aggregate
Conti3,T1590 -> T1566 -> T1059 -> T1047 -> T1055 -> T1482 -> T1124 -> T1087 -> T1057 -> T1083 -> T1021 -> T1105 -> T1567 -> T1486 -> T1218,15,Financial,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/,bounded_incident
GOLD SOUTHFIELD,T1195 -> T1566 -> T1133 -> T1199 -> T1190 -> T1059 -> T1113 -> T1219 -> T1027,9,Financial,Tropchaud,aggregate
Machete,T1566 -> T1189 -> T1204 -> T1059 -> T1053 -> T1204 -> T1059 -> T1032 -> T1218 -> T1036,10,Espionage,Tropchaud,aggregate
Royal,T1566 -> T1059 -> T1112 -> T1069 -> T1018 -> T1570 -> T1095 -> T1567 -> T1490 -> T1486 -> T1562,11,Financial,https://www.trendmicro.com/vinfo/us/security/news/ransomware-spotlight/ransomware-spotlight-royal,bounded_incident
DragonLocker,T1204 -> T1053 -> T1059 -> T1047 -> T1059 -> T1136 -> T1134 -> T1055 -> T1003 -> T1552 -> T1087 -> T1069 -> T1482 -> T1083 -> T1135 -> T1082 -> T1614 -> T1124 -> T1033 -> T1021 -> T1560 -> T1039 -> T1219 -> T1071 -> T1573 -> T1105 -> T1567 -> T1020 -> T1486 -> T1490 -> T1489 -> T1562 -> T1218 -> T1027 -> T1562,35,Financial,https://thedfirreport.com/2024/04/29/from-icedid-to-dagon-locker-ransomware-in-29-days/,bounded_incident
FIN6,T1588 -> T1566 -> T1078 -> T1053 -> T1059 -> T1569 -> T1059 -> T1047 -> T1204 -> T1547 -> T1068 -> T1134 -> T1110 -> T1555 -> T1003 -> T1087 -> T1046 -> T1018 -> T1021 -> T1213 -> T1560 -> T1074 -> T1005 -> T1560 -> T1119 -> T1572 -> T1095 -> T1573 -> T1102 -> T1048 -> T1036 -> T1562 -> T1027 -> T1070 -> T1553,35,Financial,Tropchaud,aggregate
FIN7,T1587 -> T1583 -> T1078 -> T1091 -> T1566 -> T1047 -> T1204 -> T1559 -> T1059 -> T1053 -> T1059 -> T1547 -> T1546 -> T1543 -> T1558 -> T1497 -> T1021 -> T1210 -> T1021 -> T1125 -> T1005 -> T1113 -> T1102 -> T1571 -> T1071 -> T1008 -> T1105 -> T1567 -> T1486 -> T1036 -> T1218 -> T1027 -> T1553 -> T1036,34,Financial,Tropchaud,aggregate
UTA0218,T1584 -> T1588 -> T1190 -> T1078 -> T1059 -> T1559 -> T1053 -> T1003 -> T1021 -> T1005 -> T1074 -> T1071 -> T1105 -> T1090,14,Espionage,https://attack.mitre.org/campaigns/C0048/,bounded_incident
BackdoorDiplomacy,T1588 -> T1190 -> T1574 -> T1505 -> T1055 -> T1046 -> T1049 -> T1120 -> T1074 -> T1105 -> T1095 -> T1027 -> T1036,13,Espionage,Tropchaud,aggregate
FIN5,T1588 -> T1078 -> T1133 -> T1059 -> T1110 -> T1018 -> T1074 -> T1119 -> T1090 -> T1070,10,Financial,Tropchaud,aggregate
Nomadic Octopus,T1566 -> T1059 -> T1204 -> T1059 -> T1105 -> T1564 -> T1036,7,Espionage,Tropchaud,aggregate
APT28,T1589 -> T1598 -> T1595 -> T1583 -> T1586 -> T1588 -> T1566 -> T1078 -> T1133 -> T1566 -> T1189 -> T1199 -> T1190 -> T1078 -> T1091 -> T1204 -> T1559 -> T1203 -> T1059 -> T1204 -> T1037 -> T1547 -> T1546 -> T1098 -> T1137 -> T1505 -> T1542 -> T1068 -> T1134 -> T1040 -> T1528 -> T1110 -> T1056 -> T1003 -> T1110 -> T1083 -> T1057 -> T1120 -> T1550 -> T1021 -> T1210 -> T1550 -> T1560 -> T1213 -> T1560 -> T1074 -> T1005 -> T1119 -> T1025 -> T1074 -> T1039 -> T1114 -> T1213 -> T1113 -> T1102 -> T1573 -> T1090 -> T1071 -> T1090 -> T1071 -> T1092 -> T1043 -> T1001 -> T1105 -> T1567 -> T1048 -> T1030 -> T1498 -> T1211 -> T1564 -> T1070 -> T1036 -> T1221 -> T1070 -> T1140 -> T1014 -> T1564 -> T1070 -> T1218 -> T1027 -> T1036,81,Espionage,Tropchaud,aggregate
ViceSociety,T1190 -> T1078 -> T1047 -> T1053 -> T1574 -> T1543 -> T1547 -> T1068 -> T1055 -> T1497 -> T1080 -> T1486 -> T1531 -> T1036,14,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-249a-0,bounded_incident
Zeppelin,T1133 -> T1190 -> T1566 -> T1204 -> T1543 -> T1486,6,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-223a,bounded_incident
Ferocious Kitten,T1583 -> T1588 -> T1566 -> T1204 -> T1036,5,Espionage,Tropchaud,aggregate
TA505,T1566 -> T1078 -> T1559 -> T1059 -> T1204 -> T1059 -> T1204 -> T1059 -> T1055 -> T1555 -> T1552 -> T1087 -> T1069 -> T1071 -> T1105 -> T1568 -> T1486 -> T1553 -> T1027 -> T1218 -> T1027 -> T1553,22,Financial,Tropchaud,aggregate
APT29,T1589 -> T1595 -> T1583 -> T1587 -> T1588 -> T1587 -> T1584 -> T1583 -> T1586 -> T1566 -> T1078 -> T1190 -> T1566 -> T1078 -> T1133 -> T1199 -> T1078 -> T1195 -> T1078 -> T1047 -> T1204 -> T1053 -> T1059 -> T1204 -> T1203 -> T1059 -> T1546 -> T1136 -> T1098 -> T1546 -> T1098 -> T1505 -> T1547 -> T1098 -> T1547 -> T1548 -> T1484 -> T1068 -> T1555 -> T1606 -> T1558 -> T1621 -> T1003 -> T1606 -> T1555 -> T1110 -> T1552 -> T1539 -> T1087 -> T1083 -> T1057 -> T1087 -> T1482 -> T1018 -> T1087 -> T1082 -> T1069 -> T1016 -> T1021 -> T1550 -> T1021 -> T1550 -> T1021 -> T1005 -> T1213 -> T1560 -> T1114 -> T1074 -> T1213 -> T1090 -> T1043 -> T1071 -> T1095 -> T1090 -> T1568 -> T1573 -> T1102 -> T1105 -> T1090 -> T1001 -> T1048 -> T1027 -> T1553 -> T1070 -> T1218 -> T1027 -> T1218 -> T1027 -> T1036 -> T1140 -> T1562 -> T1553 -> T1070 -> T1036 -> T1562 -> T1027,96,Espionage,Tropchaud,aggregate
MustangPanda,T1583 -> T1588 -> T1608 -> T1566 -> T1059 -> T1203 -> T1574 -> T1204 -> T1547 -> T1082 -> T1071 -> T1095 -> T1090 -> T1480 -> T1564 -> T1036 -> T1027 -> T1553 -> T1218,19,Espionage,https://attack.mitre.org/campaigns/C0047/,bounded_incident
APT-C-36,T1588 -> T1566 -> T1059 -> T1204 -> T1053 -> T1105 -> T1571 -> T1027 -> T1036,9,Espionage,Tropchaud,aggregate
BlackSuit2,T1189 -> T1204 -> T1127 -> T1059 -> T1569 -> T1059 -> T1047 -> T1547 -> T1134 -> T1003 -> T1069 -> T1482 -> T1087 -> T1069 -> T1135 -> T1018 -> T1518 -> T1082 -> T1033 -> T1570 -> T1021 -> T1560 -> T1102 -> T1105 -> T1572 -> T1071 -> T1567 -> T1486 -> T1490 -> T1564 -> T1218,31,Financial,https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/,bounded_incident
Elderwood,T1566 -> T1189 -> T1203 -> T1204 -> T1105 -> T1027,6,Espionage,Tropchaud,aggregate
APT33,T1588 -> T1566 -> T1078 -> T1059 -> T1204 -> T1059 -> T1204 -> T1203 -> T1053 -> T1546 -> T1547 -> T1068 -> T1003 -> T1555 -> T1552 -> T1040 -> T1003 -> T1555 -> T1110 -> T1552 -> T1560 -> T1065 -> T1132 -> T1071 -> T1573 -> T1105 -> T1571 -> T1048 -> T1027,29,Espionage,Tropchaud,aggregate
Ajax Security Team,T1566 -> T1204 -> T1555 -> T1056 -> T1105,5,Espionage,Tropchaud,aggregate
Lazarus_2,T1566 -> T1059 -> T1204 -> T1569 -> T1543 -> T1547 -> T1543 -> T1112 -> T1557 -> T1135 -> T1057 -> T1016 -> T1033 -> T1049 -> T1082 -> T1083 -> T1007 -> T1021 -> T1560 -> T1071 -> T1132 -> T1104 -> T1572 -> T1090 -> T1041 -> T1140 -> T1070 -> T1036,28,Espionage,https://ics-cert.kaspersky.com/publications/reports/2021/02/25/lazarus-targets-defense-industry-with-threatneedle/,bounded_incident
Kimsuky,T1594 -> T1591 -> T1593 -> T1589 -> T1598 -> T1589 -> T1583 -> T1587 -> T1585 -> T1587 -> T1583 -> T1608 -> T1588 -> T1585 -> T1583 -> T1586 -> T1584 -> T1588 -> T1133 -> T1190 -> T1566 -> T1078 -> T1566 -> T1059 -> T1204 -> T1059 -> T1053 -> T1059 -> T1204 -> T1059 -> T1098 -> T1136 -> T1543 -> T1112 -> T1176 -> T1505 -> T1547 -> T1546 -> T1055 -> T1111 -> T1040 -> T1056 -> T1557 -> T1552 -> T1003 -> T1555 -> T1016 -> T1082 -> T1518 -> T1012 -> T1057 -> T1083 -> T1007 -> T1021 -> T1534 -> T1550 -> T1114 -> T1074 -> T1114 -> T1005 -> T1560 -> T1071 -> T1219 -> T1071 -> T1105 -> T1102 -> T1041 -> T1567 -> T1027 -> T1564 -> T1562 -> T1070 -> T1218 -> T1036 -> T1218 -> T1140 -> T1027 -> T1070 -> T1564 -> T1036 -> T1553 -> T1562 -> T1218,83,Espionage,Tropchaud,aggregate
Tropic Trooper,T1078 -> T1091 -> T1566 -> T1059 -> T1204 -> T1574 -> T1203 -> T1106 -> T1547 -> T1543 -> T1547 -> T1505 -> T1055 -> T1518 -> T1049 -> T1057 -> T1016 -> T1083 -> T1046 -> T1033 -> T1135 -> T1082 -> T1119 -> T1071 -> T1573 -> T1105 -> T1132 -> T1573 -> T1020 -> T1052 -> T1221 -> T1070 -> T1140 -> T1027 -> T1564 -> T1027 -> T1036,37,Espionage,Tropchaud,aggregate
PROMETHIUM,T1587 -> T1078 -> T1189 -> T1204 -> T1547 -> T1205 -> T1543 -> T1036 -> T1553,9,Espionage,Tropchaud,aggregate
Andariel,T1591 -> T1592 -> T1595 -> T1596 -> T1587 -> T1190 -> T1059 -> T1003 -> T1083 -> T1087 -> T1021 -> T1560 -> T1039 -> T1560 -> T1090 -> T1572 -> T1071 -> T1090 -> T1048 -> T1567 -> T1027,21,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-207a,bounded_incident
Dark Caracal,T1566 -> T1189 -> T1059 -> T1204 -> T1547 -> T1083 -> T1005 -> T1113 -> T1071 -> T1027 -> T1218 -> T1027,12,Espionage,Tropchaud,aggregate
Turla_armenian,T1189 -> T1204 -> T1053 -> T1016 -> T1057 -> T1082 -> T1071 -> T1573 -> T1571 -> T1041,10,Espionage,https://www.trendmicro.com/en_us/research/23/i/examining-the-activities-of-the-turla-group.html,bounded_incident
CostaRicto,T1588 -> T1053 -> T1046 -> T1572 -> T1090,5,Financial,Tropchaud,aggregate
Play,T1078 -> T1190 -> T1133 -> T1059 -> T1484 -> T1552 -> T1003 -> T1016 -> T1518 -> T1570 -> T1560 -> T1048 -> T1486 -> T1657 -> T1562 -> T1070,16,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,bounded_incident
Indrik Spider,T1584 -> T1078 -> T1059 -> T1204 -> T1059 -> T1047 -> T1059 -> T1136 -> T1484 -> T1003 -> T1018 -> T1007 -> T1074 -> T1105 -> T1486 -> T1489 -> T1562 -> T1070 -> T1036,19,Financial,Tropchaud,aggregate
BlackTech,T1588 -> T1566 -> T1190 -> T1204 -> T1203 -> T1574 -> T1106 -> T1046 -> T1021 -> T1036,10,Espionage,Tropchaud,aggregate
ZIRCONIUM,T1598 -> T1583 -> T1566 -> T1059 -> T1204 -> T1059 -> T1547 -> T1068 -> T1555 -> T1082 -> T1016 -> T1033 -> T1012 -> T1124 -> T1102 -> T1105 -> T1573 -> T1041 -> T1567 -> T1036 -> T1218 -> T1027 -> T1140 -> T1036,24,Espionage,Tropchaud,aggregate
ELPACO,T1190 -> T1059 -> T1047 -> T1136 -> T1112 -> T1543 -> T1134 -> T1068 -> T1003 -> T1057 -> T1012 -> T1018 -> T1016 -> T1021 -> T1071 -> T1105 -> T1219 -> T1486 -> T1562,19,Financial,https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/,bounded_incident
Salt Typhoon,T1595 -> T1590 -> T1583 -> T1584 -> T1588 -> T1190 -> T1199 -> T1569 -> T1609 -> T1059 -> T1610 -> T1136 -> T1543 -> T1098 -> T1556 -> T1068 -> T1040 -> T1003 -> T1110 -> T1082 -> T1016 -> T1021 -> T1560 -> T1602 -> T1005 -> T1090 -> T1071 -> T1571 -> T1572 -> T1095 -> T1048 -> T1027 -> T1562 -> T1070 -> T1599,35,Espionage,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories/countering-chinese-state-sponsored-actors-compromise-of-networks-worldwide-to-feed-global-espionage-system,bounded_incident
Lazarus_4,T1583 -> T1584 -> T1587 -> T1608 -> T1059 -> T1559 -> T1106 -> T1204 -> T1547 -> T1055 -> T1105 -> T1090 -> T1036,13,Espionage,https://attack.mitre.org/campaigns/C0013/,bounded_incident
Quantum2,T1566 -> T1047 -> T1059 -> T1204 -> T1059 -> T1569 -> T1053 -> T1068 -> T1134 -> T1003 -> T1482 -> T1082 -> T1018 -> T1615 -> T1614 -> T1124 -> T1135 -> T1087 -> T1083 -> T1033 -> T1021 -> T1570 -> T1021 -> T1074 -> T1071 -> T1567 -> T1486 -> T1531 -> T1218 -> T1562 -> T1553,31,Financial,https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/,bounded_incident
Unknown6,T1588 -> T1566 -> T1059 -> T1203 -> T1053 -> T1127 -> T1204 -> T1047 -> T1057 -> T1518 -> T1082 -> T1016 -> T1033 -> T1497 -> T1119 -> T1005 -> T1071 -> T1573 -> T1105 -> T1020 -> T1041 -> T1140 -> T1036 -> T1027 -> T1221,25,Espionage,https://attack.mitre.org/campaigns/C0001/,bounded_incident
BlackSuit3,T1204 -> T1059 -> T1569 -> T1059 -> T1112 -> T1547 -> T1548 -> T1055 -> T1558 -> T1003 -> T1069 -> T1482 -> T1018 -> T1518 -> T1082 -> T1021 -> T1550 -> T1560 -> T1090 -> T1071 -> T1486 -> T1490,22,Financial,https://thedfirreport.com/2024/08/26/blacksuit-ransomware/,bounded_incident
GALLIUM,T1588 -> T1583 -> T1078 -> T1133 -> T1190 -> T1053 -> T1059 -> T1574 -> T1047 -> T1505 -> T1136 -> T1003 -> T1033 -> T1049 -> T1016 -> T1018 -> T1570 -> T1550 -> T1074 -> T1560 -> T1005 -> T1105 -> T1090 -> T1041 -> T1553 -> T1036 -> T1027,27,Espionage,Tropchaud,aggregate
Sodinokibi,T1566 -> T1204 -> T1047 -> T1204 -> T1059 -> T1053 -> T1055 -> T1482 -> T1087 -> T1082 -> T1016 -> T1518 -> T1018 -> T1021 -> T1071 -> T1048 -> T1486 -> T1218,18,Financial,https://thedfirreport.com/2021/03/29/sodinokibi-aka-revil-ransomware/,bounded_incident
StarBlizzard,T1593 -> T1589 -> T1585 -> T1583 -> T1586 -> T1078 -> T1566 -> T1539 -> T1550 -> T1114,10,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-341a,bounded_incident
Bazarloader,T1566 -> T1078 -> T1059 -> T1204 -> T1059 -> T1204 -> T1136 -> T1055 -> T1003 -> T1087 -> T1482 -> T1087 -> T1083 -> T1057 -> T1135 -> T1018 -> T1518 -> T1033 -> T1124 -> T1570 -> T1021 -> T1005 -> T1039 -> T1074 -> T1218,25,Financial,https://thedfirreport.com/2021/10/04/bazarloader-and-the-conti-leaks/,bounded_incident
